,Date,Open,High,Low,Adj Close,Volume,Dividends,Change,Dollar,Dollar_rate,S&P500,DJIA,Nasdaq,interest,SamSung_close
284,2021-02-25,84000,85400,83000,84148.28125,34155986,0,4.02,1110.2,-0.05,3925.429932,31961.85938,13597.96973,1.389000058,85300
285,2021-02-26,82800,83400,82000,81386.08594,38520800,0,-3.28,1108.4,-0.16,3829.340088,31402.00977,13119.42969,1.518000007,82500
286,2021-03-02,85100,85300,83000,82471.23438,33498180,0,1.33,1121.8,1.19,3811.149902,30932.36914,13192.34961,1.460000038,83600
287,2021-03-03,83500,84000,82800,82865.83594,19882132,0,0.48,1121.3,-0.04,3870.290039,31391.51953,13358.79004,1.414999962,84000
288,2021-03-04,82600,83200,82200,81287.4375,24348331,0,-1.9,1122.9,0.14,3819.719971,31270.08984,12997.75,1.470000029,82400
289,2021-03-05,81100,82600,81100,80991.49219,20508971,0,-0.36,1126.2,0.29,3768.469971,30924.14063,12723.46973,1.549999952,82100
290,2021-03-08,82900,83000,81600,80892.83594,17641256,0,-0.12,1129.4,0.28,3841.939941,31496.30078,12920.15039,1.55400002,82000
291,2021-03-09,81400,81900,80600,80300.94531,25420764,0,-0.73,1131.3,0.17,3821.350098,31802.43945,12609.16016,1.595999956,81400
292,2021-03-10,82400,82500,80700,79807.6875,20038422,0,-0.61,1141.1,0.86,3875.439941,31832.74023,13073.82031,1.546000004,80900
293,2021-03-11,81000,82500,81000,80892.83594,23818297,0,1.36,1140.7,-0.04,3898.810059,32297.01953,13068.83008,1.519999981,82000
294,2021-03-12,83100,83500,82400,81682.03906,13530573,0,0.98,1137.3,-0.3,3939.340088,32485.58984,13398.66992,1.52699995,82800
295,2021-03-15,82800,82900,81800,80695.53906,13735798,0,-1.21,1130.7,-0.58,3943.340088,32778.64063,13319.86035,1.63499999,81800
296,2021-03-16,82200,83000,82100,81682.03906,12293537,0,1.22,1135.9,0.46,3968.939941,32953.46094,13459.70996,1.606999993,82800
297,2021-03-17,82800,82900,82000,81188.78906,11625146,0,-0.6,1132.5,-0.3,3962.709961,32825.94922,13471.57031,1.621000051,82300
298,2021-03-18,82800,83800,82600,81780.6875,18585244,0,0.73,1131.8,-0.06,3974.120117,33015.37109,13525.2002,1.641000032,82900
299,2021-03-19,82100,82500,81800,80794.1875,15869700,0,-1.21,1123.7,-0.72,3915.459961,32862.30078,13116.16992,1.730000019,81900
300,2021-03-22,82000,82300,81700,80892.83594,12670506,0,0.12,1131.8,0.72,3913.100098,32627.9707,13215.24023,1.731999993,82000
301,2021-03-23,82600,82900,81800,80695.53906,13299907,0,-0.24,1131.3,-0.04,3940.590088,32731.19922,13377.54004,1.684000015,81800
302,2021-03-24,81000,81600,80700,79906.34375,17926638,0,-0.98,1128,-0.29,3910.52002,32423.15039,13227.7002,1.638000011,81000
303,2021-03-25,81000,82100,80800,80103.64063,14758826,0,0.25,1133.5,0.49,3889.139893,32420.06055,12961.88965,1.613999963,81200
304,2021-03-26,81400,81600,81000,80399.59375,12845778,0,0.37,1134.2,0.06,3909.52002,32619.48047,12977.67969,1.613999963,81500
305,2021-03-29,81700,81700,81000,80498.24219,14952134,0,0.12,1131.8,-0.21,3974.540039,33072.87891,13138.73047,1.659999967,81600
306,2021-03-30,81600,82300,81300,81450.47656,13121698,361,0.74,1131.7,-0.01,3971.090088,33171.37109,13059.65039,1.720999956,82200
307,2021-03-31,82400,82700,81400,80657.77344,17240518,0,-0.97,1133.5,0.16,3958.550049,33066.96094,13045.38965,1.725999951,81400
308,2021-04-01,82500,83000,82000,82144.09375,18676461,0,1.84,1132.6,-0.08,3972.889893,32981.55078,13246.87012,1.746000051,82900
309,2021-04-02,84000,85200,83900,84026.77344,22997538,0,2.29,1129.3,-0.29,4019.870117,33153.21094,13480.11035,1.67900002,84800
310,2021-04-05,85800,86000,84800,84621.29688,16255990,0,0.71,1127.5,-0.16,4019.870117,33153.21094,13480.11035,,85400
311,2021-04-06,86200,86200,85100,85215.82813,19042023,0,0.7,1127.8,0.03,4077.909912,33527.19141,13705.58984,1.720000029,86000
312,2021-04-07,86100,86200,85400,84819.47656,17885538,0,-0.47,1122.9,-0.44,4073.939941,33430.23828,13698.37988,1.656000018,85600
313,2021-04-08,85700,85700,84100,83927.67969,19244259,0,-1.05,1116.4,-0.58,4079.949951,33446.26172,13688.83984,1.652999997,84700
314,2021-04-09,84700,84900,83400,82837.71094,18193707,0,-1.3,1118.5,0.19,4097.169922,33503.57031,13829.30957,1.631999969,83600
315,2021-04-12,84100,84100,83100,82441.36719,12915282,0,-0.48,1117.2,-0.12,4128.799805,33800.60156,13900.19043,1.666000009,83200
316,2021-04-13,83000,84500,82800,83234.0625,15238206,0,0.96,1124.3,0.63,4127.990234,33745.39844,13850,1.674999952,84000
317,2021-04-14,84000,84300,83400,83234.0625,13794652,0,0,1126.1,0.16,4141.589844,33677.26953,13996.09961,1.623000026,84000
318,2021-04-15,83700,84500,83400,83333.15625,16377412,0,0.12,1119.9,-0.55,4124.660156,33730.89063,13857.83984,1.638000011,84100
319,2021-04-16,84700,84700,83600,83134.97656,15429522,0,-0.24,1117.6,-0.21,4170.419922,34035.98828,14038.75977,1.529999971,83900
320,2021-04-19,83800,84000,83300,82540.44531,15287311,0,-0.72,1117.9,0.03,4185.470215,34200.67188,14052.33984,1.572999954,83300
321,2021-04-20,83300,84000,83100,83134.97656,15521965,0,0.72,1118.2,0.03,4163.259766,34077.62891,13914.76953,1.600999951,83900
322,2021-04-21,83300,83500,82500,81846.82813,21636079,0,-1.55,1113.4,-0.43,4134.939941,33821.30078,13786.26953,1.562000036,82600
323,2021-04-22,82900,83000,82400,81648.65625,13934746,0,-0.24,1117.4,0.36,4173.419922,34137.30859,13950.21973,1.56400001,82400
324,2021-04-23,81900,82900,81600,82045.00781,17805080,0,0.49,1116.3,-0.1,4134.97998,33815.89844,13818.41016,1.55400002,82800
325,2021-04-26,82900,83500,82600,82738.625,15489938,0,0.85,1118.9,0.23,4180.169922,34043.48828,14016.80957,1.567000031,83500
326,2021-04-27,83200,83300,82500,82144.09375,12941533,0,-0.72,1114,-0.44,4187.620117,33981.57031,14138.78027,1.570000052,82900
327,2021-04-28,83200,83200,82100,81351.39063,15596759,0,-0.97,1110.8,-0.29,4186.720215,33984.92969,14090.21973,1.621999979,82100
328,2021-04-29,82400,82500,81500,80955.03906,20000973,0,-0.49,1112.5,0.15,4183.180176,33820.37891,14051.03027,1.620000005,81700
329,2021-04-30,81900,82100,81500,80756.85938,18673197,0,-0.24,1107.4,-0.46,4211.470215,34060.35938,14082.5498,1.639999986,81500
330,2021-05-03,81000,82400,81000,80955.03906,15710336,0,0.25,1109.6,0.2,4181.169922,33874.85156,13962.67969,1.631000042,81700
331,2021-05-04,81900,82600,81800,81846.82813,12532550,0,1.1,1119.3,0.87,4192.660156,34113.23047,13895.12012,1.606999993,82600
332,2021-05-06,81700,82300,81700,81549.57031,17047511,0,-0.36,1121.1,0.16,4164.660156,34133.03125,13633.5,1.592000008,82300
333,2021-05-07,81800,82100,81500,81153.21875,14154882,0,-0.49,1125.5,0.39,4201.620117,34548.53125,13632.83984,1.56099999,81900
334,2021-05-10,82300,83500,81800,82441.36719,19385027,0,1.59,1121.4,-0.37,4232.600098,34777.76172,13752.24023,1.577000022,83200
335,2021-05-11,82500,82600,81100,80459.60156,28996680,0,-2.4,1114.6,-0.61,4188.430176,34742.82031,13401.86035,1.601999998,81200
336,2021-05-12,80800,81200,79800,79270.53906,35812268,0,-1.48,1119.1,0.4,4152.100098,34269.16016,13389.42969,1.623999953,80000
337,2021-05-13,78900,79600,78400,77784.21875,31490096,0,-1.88,1123.5,0.39,4063.040039,33587.66016,13031.67969,1.695000052,78500
338,2021-05-14,79000,80300,78900,79369.625,16450920,0,2.04,1130.6,0.63,4112.5,34021.44922,13124.99023,1.667999983,80100
339,2021-05-17,80800,80900,79200,78874.1875,17740855,0,-0.62,1129.5,-0.1,4173.850098,34382.12891,13429.98047,1.63499999,79600
340,2021-05-18,79600,80000,79100,78874.1875,17494407,0,0,1133,0.31,4163.290039,34327.78906,13379.0498,1.639999986,79600
341,2021-05-20,79400,79700,79100,78775.09375,16541828,0,-0.13,1133.1,0.01,4127.830078,34060.66016,13303.63965,1.64199996,79500
342,2021-05-21,80100,81500,79800,79369.625,20961714,0,0.75,1132.2,-0.08,4159.120117,34084.14844,13535.74023,1.633999944,80100
343,2021-05-24,80100,80400,79500,78973.27344,13398666,0,-0.5,1126.9,-0.47,4155.859863,34207.83984,13470.99023,1.631999969,79700
344,2021-05-25,80000,80400,79800,79171.45313,13628942,0,0.25,1127.6,0.06,4197.049805,34393.98047,13661.16992,1.60800004,79900
345,2021-05-26,80400,80500,79700,79072.36719,11984359,0,-0.13,1122.8,-0.43,4188.129883,34312.46094,13657.16992,1.56400001,79800
346,2021-05-27,80000,80000,79100,78874.1875,23198510,0,-0.25,1118.6,-0.38,4195.990234,34323.05078,13738,1.574000001,79600
347,2021-05-28,79800,80400,79400,79369.625,12360199,0,0.63,1118,-0.05,4200.879883,34464.64063,13736.28027,1.610000014,80100
348,2021-05-31,80300,80600,79600,79765.98438,13321324,0,0.5,1116,-0.18,4204.109863,34529.44922,13748.74023,1.58099997,80500
349,2021-06-01,80500,81300,80100,79865.07031,14058401,0,0.12,1113.5,-0.22,4204.109863,34529.44922,13748.74023,,80600
350,2021-06-02,80400,81400,80300,80063.24219,16414644,0,0.25,1107,-0.59,4202.040039,34575.30859,13736.48047,1.61500001,80800
351,2021-06-03,81300,83000,81100,82045.00781,29546007,0,2.48,1110.3,0.3,4208.120117,34600.37891,13756.33008,1.590999961,82800
352,2021-06-04,82700,82700,81500,81450.47656,18112259,0,-0.72,1111.8,0.13,4192.850098,34577.03906,13614.50977,1.625,82200
353,2021-06-07,82700,82800,81600,81153.21875,16496197,0,-0.36,1117.5,0.51,4229.890137,34756.39063,13814.49023,1.559999943,81900
354,2021-06-08,82300,82600,81800,81153.21875,12781226,0,0,1111.2,-0.57,4226.52002,34630.23828,13881.71973,1.569000006,81900
355,2021-06-09,81500,82000,81100,80360.50781,14908823,0,-0.98,1113.7,0.22,4227.259766,34599.82031,13924.91016,1.527999997,81100
356,2021-06-10,81300,81400,80900,80261.42188,17586995,0,-0.12,1115.8,0.19,4219.549805,34447.14063,13911.75,1.488999963,81000
357,2021-06-11,81200,81700,80700,80261.42188,14087962,0,0,1115,-0.07,4239.180176,34466.23828,14020.33008,1.458999991,81000
358,2021-06-14,80800,80900,80500,79765.98438,10550078,0,-0.62,1111.2,-0.34,4247.439941,34479.60156,14069.41992,1.462000012,80500
359,2021-06-15,80900,81200,80600,80162.32813,10075685,0,0.5,1116.4,0.47,4255.149902,34393.75,14174.13965,1.501000047,80900
360,2021-06-16,81500,81900,81100,81054.125,14999855,0,1.11,1117.8,0.13,4246.589844,34299.32813,14072.86035,1.498999953,81800
361,2021-06-17,81100,81300,80700,80162.32813,14007385,0,-1.1,1117.7,-0.01,4223.700195,34033.67188,14039.67969,1.569000006,80900
362,2021-06-18,81100,81100,80500,79765.98438,14916721,0,-0.49,1129.5,1.04,4221.859863,33823.44922,14161.34961,1.511000037,80500
363,2021-06-21,79700,80000,79600,79171.45313,16063340,0,-0.75,1132.2,0.24,4166.450195,33290.07813,14030.37988,1.450000048,79900
364,2021-06-22,80200,80300,79900,79270.53906,11773365,0,0.13,1135.4,0.28,4224.790039,33876.96875,14141.48047,1.483999968,80000
365,2021-06-23,80500,80600,79900,79369.625,13856548,0,0.12,1132.4,-0.26,4246.439941,33945.57813,14253.26953,1.472000003,80100
366,2021-06-24,80400,81400,80100,80459.60156,18771080,0,1.37,1135.6,0.28,4241.839844,33874.23828,14271.73047,1.486999989,81200
367,2021-06-25,81500,81900,81200,80855.95313,13481405,0,0.49,1135.8,0.02,4266.490234,34196.82031,14369.70996,1.486999989,81600
368,2021-06-28,81700,82000,81600,81153.21875,11578529,0,0.37,1128.8,-0.62,4280.700195,34433.83984,14360.38965,1.536000013,81900
369,2021-06-29,81900,82100,80800,80616.76563,15744317,361,-1.1,1129.9,0.1,4290.609863,34283.26953,14500.50977,1.478000045,81000
370,2021-06-30,81100,81400,80700,80318.1875,13288643,0,-0.37,1130,0.01,4291.799805,34292.28906,14528.33008,1.480000019,80700
371,2021-07-01,80500,80600,80000,79721.02344,13382882,0,-0.74,1129.5,-0.04,4297.5,34502.51172,14503.9502,1.442999959,80100
372,2021-07-02,80000,80400,79900,79621.5,8753097,0,-0.12,1132.2,0.24,4319.939941,34633.53125,14522.37988,1.480000019,80000
373,2021-07-05,80100,80800,80000,80019.60156,8330969,0,0.5,1134.5,0.2,4352.339844,34786.35156,14639.33008,1.430999994,80400
374,2021-07-06,80600,81200,80500,80815.82031,12131651,0,1,1130.3,-0.37,4352.339844,34786.35156,14639.33008,,81200
375,2021-07-07,81200,81300,80300,80417.71094,15992202,0,-0.49,1131.8,0.13,4343.540039,34577.37109,14663.63965,1.370000005,80800
376,2021-07-08,81100,81200,79900,79521.96875,16660998,0,-1.11,1137.6,0.51,4358.129883,34681.78906,14665.05957,1.32099998,79900
377,2021-07-09,79600,79800,79000,79024.33594,22720577,0,-0.63,1143.4,0.51,4320.819824,34421.92969,14559.78027,1.287999988,79400
378,2021-07-12,79900,80000,79500,79322.91406,9768108,0,0.38,1148.3,0.43,4369.549805,34870.16016,14701.91992,1.355999947,79700
379,2021-07-13,80000,80200,79800,79422.44531,9863450,0,0.13,1146.4,-0.17,4384.629883,34996.17969,14733.24023,1.363000035,79800
380,2021-07-14,79400,79600,79100,79123.85938,11575636,0,-0.38,1145.1,-0.11,4369.209961,34888.78906,14677.65039,1.414999962,79500
381,2021-07-15,79800,80600,79500,80218.65625,13766279,0,1.38,1150.3,0.45,4374.299805,34933.23047,14644.9502,1.355999947,80600
382,2021-07-16,80100,80100,79500,79422.44531,10859399,0,-0.99,1143.7,-0.58,4360.029785,34987.01953,14543.12988,1.297000051,79800
383,2021-07-19,79100,79200,78800,78626.22656,13155414,0,-1,1141.1,-0.23,4327.160156,34687.85156,14427.24023,1.299999952,79000
384,2021-07-20,78500,79000,78400,78626.22656,12456646,0,0,1145.7,0.4,4258.490234,33962.03906,14274.98047,1.180999994,79000
385,2021-07-21,79000,79100,78500,78128.59375,12355296,0,-0.63,1151,0.46,4323.060059,34511.98828,14498.87988,1.208999991,78500
386,2021-07-22,79000,79800,78900,79322.91406,12618790,0,1.53,1150.6,-0.03,4358.689941,34798,14631.9502,1.279999971,79700
387,2021-07-23,79700,79900,79200,78924.80469,9098910,0,-0.5,1151,0.03,4367.47998,34823.35156,14684.59961,1.264999986,79300
388,2021-07-26,79400,79500,78800,78427.17188,10040975,0,-0.63,1149.5,-0.13,4411.790039,35061.55078,14836.99023,1.286000013,78800
389,2021-07-27,79200,79400,78500,78128.59375,11427693,0,-0.38,1153.2,0.32,4422.299805,35144.30859,14840.70996,1.276000023,78500
390,2021-07-28,78300,79200,78100,78825.28125,12743417,0,0.89,1150.2,-0.26,4401.459961,35058.51953,14660.58008,1.233999968,79200
